Fund_ID,Transaction_Date,Reporting_Quarter,Transaction_Type,investment_paid_in_usd,management_fees_usd,return_of_cost_distribution_usd,profit_distribution_usd,net_asset_value_usd,MOIC
2,2031-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,625384.62,1.78
2,2031-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,639487.18,1.8
2,2031-10-01,4,Distribution,0.0,-8000.0,40000.0,24000.0,653589.74,1.82
2,2032-01-01,1,Fee/NAV Update,0.0,-8000.0,0.0,0.0,667692.31,1.83
2,2032-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,681794.87,1.85
2,2032-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,695897.44,1.87
2,2032-10-01,4,Fee/NAV Update,0.0,-8000.0,0.0,0.0,710000.0,1.89
2,2033-01-01,1,Distribution,0.0,-8000.0,40000.0,24000.0,724102.56,1.91
2,2033-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,738205.13,1.92
2,2033-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,752307.69,1.94
2,2033-10-01,4,Fee/NAV Update,0.0,-8000.0,0.0,0.0,766410.26,1.96
2,2034-01-01,1,Fee/NAV Update,0.0,-8000.0,0.0,0.0,780512.82,1.98
2,2034-04-01,2,Distribution,0.0,-8000.0,40000.0,24000.0,794615.38,1.99
2,2034-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,808717.95,2.01
2,2034-10-01,4,Fee/NAV Update,0.0,-8000.0,0.0,0.0,822820.51,2.03
2,2035-01-01,1,Fee/NAV Update,0.0,-8000.0,0.0,0.0,836923.08,2.05
2,2035-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,851025.64,2.06
2,2035-07-01,3,Distribution,0.0,-8000.0,40000.0,24000.0,865128.21,2.08
2,2035-10-01,4,Fee/NAV Update,0.0,-8000.0,0.0,0.0,879230.77,2.1
2,2036-01-01,1,Fee/NAV Update,0.0,-8000.0,0.0,0.0,893333.33,2.12
2,2036-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,907435.9,2.13
2,2036-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,921538.46,2.15
2,2036-10-01,4,Distribution,0.0,-8000.0,40000.0,24000.0,935641.03,2.17
2,2037-01-01,1,Fee/NAV Update,0.0,-8000.0,0.0,0.0,949743.59,2.19
2,2037-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,963846.15,2.2
2,2037-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,977948.72,2.22
2,2037-10-01,4,Fee/NAV Update,0.0,-8000.0,0.0,0.0,992051.28,2.24
2,2038-01-01,1,Distribution,0.0,-8000.0,40000.0,24000.0,1006153.85,2.26
2,2038-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1020256.41,2.28
2,2038-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1034358.97,2.29
2,2038-10-01,4,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1048461.54,2.31
2,2039-01-01,1,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1062564.1,2.33
2,2039-04-01,2,Distribution,0.0,-8000.0,40000.0,24000.0,1076666.67,2.35
2,2039-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1090769.23,2.36
2,2039-10-01,4,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1104871.79,2.38
2,2040-01-01,1,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1118974.36,2.4
2,2040-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1133076.92,2.42
2,2040-07-01,3,Distribution,0.0,-8000.0,40000.0,24000.0,1147179.49,2.43
2,2040-10-01,4,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1161282.05,2.45
2,2041-01-01,1,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1175384.62,2.47
2,2041-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1189487.18,2.49
2,2041-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1203589.74,2.5
2,2041-10-01,4,Distribution,0.0,-8000.0,40000.0,24000.0,1217692.31,2.52
2,2042-01-01,1,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1231794.87,2.54
2,2042-04-01,2,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1245897.44,2.56
2,2042-07-01,3,Fee/NAV Update,0.0,-8000.0,0.0,0.0,1260000.0,2.58
3,2026-01-01,1,Fee/NAV Update,0.0,-142187.5,0.0,0.0,9416666.67,1.58
3,2026-04-01,2,Fee/NAV Update,0.0,-142187.5,0.0,0.0,9609375.0,1.59
3,2026-07-01,3,Fee/NAV Update,0.0,-142187.5,0.0,0.0,9802083.33,1.6
3,2026-10-01,4,Distribution,0.0,-142187.5,812500.0,487500.0,9994791.67,1.62
3,2027-01-01,1,Fee/NAV Update,0.0,-142187.5,0.0,0.0,10187500.0,1.63
3,2027-04-01,2,Fee/NAV Update,0.0,-142187.5,0.0,0.0,10380208.33,1.64
3,2027-07-01,3,Fee/NAV Update,0.0,-142187.5,0.0,0.0,10572916.67,1.65
3,2027-10-01,4,Fee/NAV Update,0.0,-142187.5,0.0,0.0,10765625.0,1.66
3,2028-01-01,1,Distribution,0.0,-142187.5,812500.0,487500.0,10958333.33,1.67
3,2028-04-01,2,Fee/NAV Update,0.0,-142187.5,0.0,0.0,11151041.67,1.69
3,2028-07-01,3,Fee/NAV Update,0.0,-142187.5,0.0,0.0,11343750.0,1.7
3,2028-10-01,4,Fee/NAV Update,0.0,-142187.5,0.0,0.0,11536458.33,1.71
3,2029-01-01,1,Fee/NAV Update,0.0,-142187.5,0.0,0.0,11729166.67,1.72
3,2029-04-01,2,Distribution,0.0,-142187.5,812500.0,487500.0,11921875.0,1.73
3,2029-07-01,3,Fee/NAV Update,0.0,-142187.5,0.0,0.0,12114583.33,1.75
3,2029-10-01,4,Fee/NAV Update,0.0,-142187.5,0.0,0.0,12307291.67,1.76
3,2030-01-01,1,Fee/NAV Update,0.0,-142187.5,0.0,0.0,12500000.0,1.77
3,2030-04-01,2,Fee/NAV Update,0.0,-142187.5,0.0,0.0,12692708.33,1.78
3,2030-07-01,3,Distribution,0.0,-142187.5,812500.0,487500.0,12885416.67,1.79
3,2030-10-01,4,Fee/NAV Update,0.0,-142187.5,0.0,0.0,13078125.0,1.8
3,2031-01-01,1,Fee/NAV Update,0.0,-142187.5,0.0,0.0,13270833.33,1.82
3,2031-04-01,2,Fee/NAV Update,0.0,-142187.5,0.0,0.0,13463541.67,1.83
3,2031-07-01,3,Fee/NAV Update,0.0,-142187.5,0.0,0.0,13656250.0,1.84
3,2031-10-01,4,Distribution,0.0,-142187.5,812500.0,487500.0,13848958.33,1.85
3,2032-01-01,1,Fee/NAV Update,0.0,-142187.5,0.0,0.0,14041666.67,1.86
3,2032-04-01,2,Fee/NAV Update,0.0,-142187.5,0.0,0.0,14234375.0,1.88
3,2032-07-01,3,Fee/NAV Update,0.0,-142187.5,0.0,0.0,14427083.33,1.89
3,2032-10-01,4,Fee/NAV Update,0.0,-142187.5,0.0,0.0,14619791.67,1.9
3,2033-01-01,1,Distribution,0.0,-142187.5,812500.0,487500.0,14812500.0,1.91
3,2033-04-01,2,Fee/NAV Update,0.0,-142187.5,0.0,0.0,15005208.33,1.92
3,2033-07-01,3,Fee/NAV Update,0.0,-142187.5,0.0,0.0,15197916.67,1.94
3,2033-10-01,4,Fee/NAV Update,0.0,-142187.5,0.0,0.0,15390625.0,1.95
3,2034-01-01,1,Fee/NAV Update,0.0,-142187.5,0.0,0.0,15583333.33,1.96
3,2034-04-01,2,Distribution,0.0,-142187.5,812500.0,487500.0,15776041.67,1.97
3,2034-07-01,3,Fee/NAV Update,0.0,-142187.5,0.0,0.0,15968750.0,1.98
3,2034-10-01,4,Fee/NAV Update,0.0,-142187.5,0.0,0.0,16161458.33,1.99
3,2035-01-01,1,Fee/NAV Update,0.0,-142187.5,0.0,0.0,16354166.67,2.01
3,2035-04-01,2,Fee/NAV Update,0.0,-142187.5,0.0,0.0,16546875.0,2.02
3,2035-07-01,3,Distribution,0.0,-142187.5,812500.0,487500.0,16739583.33,2.03
3,2035-10-01,4,Fee/NAV Update,0.0,-142187.5,0.0,0.0,16932291.67,2.04
3,2036-01-01,1,Fee/NAV Update,0.0,-142187.5,0.0,0.0,17125000.0,2.05
3,2036-04-01,2,Fee/NAV Update,0.0,-142187.5,0.0,0.0,17317708.33,2.07
3,2036-07-01,3,Fee/NAV Update,0.0,-142187.5,0.0,0.0,17510416.67,2.08
3,2036-10-01,4,Distribution,0.0,-142187.5,812500.0,487500.0,17703125.0,2.09
3,2037-01-01,1,Fee/NAV Update,0.0,-142187.5,0.0,0.0,17895833.33,2.1
3,2037-04-01,2,Fee/NAV Update,0.0,-142187.5,0.0,0.0,18088541.67,2.11
3,2037-07-01,3,Fee/NAV Update,0.0,-142187.5,0.0,0.0,18281250.0,2.13
4,2026-01-01,1,Fee/NAV Update,0.0,-36250.0,0.0,0.0,3167692.31,1.55
4,2026-04-01,2,Fee/NAV Update,0.0,-36250.0,0.0,0.0,3223461.54,1.56
4,2026-07-01,3,Fee/NAV Update,0.0,-36250.0,0.0,0.0,3279230.77,1.57
4,2026-10-01,4,Fee/NAV Update,0.0,-36250.0,0.0,0.0,3335000.0,1.57
4,2027-01-01,1,Distribution,0.0,-36250.0,290000.0,174000.0,3390769.23,1.58
4,2027-04-01,2,Fee/NAV Update,0.0,-36250.0,0.0,0.0,3446538.46,1.59
4,2027-07-01,3,Fee/NAV Update,0.0,-36250.0,0.0,0.0,3502307.69,1.6
4,2027-10-01,4,Fee/NAV Update,0.0,-36250.0,0.0,0.0,3558076.92,1.61
4,2028-01-01,1,Fee/NAV Update,0.0,-36250.0,0.0,0.0,3613846.15,1.62
4,2028-04-01,2,Distribution,0.0,-36250.0,290000.0,174000.0,3669615.38,1.63
4,2028-07-01,3,Fee/NAV Update,0.0,-36250.0,0.0,0.0,3725384.62,1.64
4,2028-10-01,4,Fee/NAV Update,0.0,-36250.0,0.0,0.0,3781153.85,1.65
4,2029-01-01,1,Fee/NAV Update,0.0,-36250.0,0.0,0.0,3836923.08,1.66
4,2029-04-01,2,Fee/NAV Update,0.0,-36250.0,0.0,0.0,3892692.31,1.67
4,2029-07-01,3,Distribution,0.0,-36250.0,290000.0,174000.0,3948461.54,1.68
4,2029-10-01,4,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4004230.77,1.69
4,2030-01-01,1,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4060000.0,1.7
4,2030-04-01,2,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4115769.23,1.71
4,2030-07-01,3,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4171538.46,1.72
4,2030-10-01,4,Distribution,0.0,-36250.0,290000.0,174000.0,4227307.69,1.73
4,2031-01-01,1,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4283076.92,1.74
4,2031-04-01,2,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4338846.15,1.75
4,2031-07-01,3,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4394615.38,1.76
4,2031-10-01,4,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4450384.62,1.77
4,2032-01-01,1,Distribution,0.0,-36250.0,290000.0,174000.0,4506153.85,1.78
4,2032-04-01,2,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4561923.08,1.79
4,2032-07-01,3,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4617692.31,1.8
4,2032-10-01,4,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4673461.54,1.81
4,2033-01-01,1,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4729230.77,1.82
4,2033-04-01,2,Distribution,0.0,-36250.0,290000.0,174000.0,4785000.0,1.83
4,2033-07-01,3,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4840769.23,1.83
4,2033-10-01,4,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4896538.46,1.84
4,2034-01-01,1,Fee/NAV Update,0.0,-36250.0,0.0,0.0,4952307.69,1.85
4,2034-04-01,2,Fee/NAV Update,0.0,-36250.0,0.0,0.0,5008076.92,1.86
4,2034-07-01,3,Distribution,0.0,-36250.0,290000.0,174000.0,5063846.15,1.87
4,2034-10-01,4,Fee/NAV Update,0.0,-36250.0,0.0,0.0,5119615.38,1.88
4,2035-01-01,1,Fee/NAV Update,0.0,-36250.0,0.0,0.0,5175384.62,1.89
4,2035-04-01,2,Fee/NAV Update,0.0,-36250.0,0.0,0.0,5231153.85,1.9
4,2035-07-01,3,Fee/NAV Update,0.0,-36250.0,0.0,0.0,5286923.08,1.91
4,2035-10-01,4,Distribution,0.0,-36250.0,290000.0,174000.0,5342692.31,1.92
4,2036-01-01,1,Fee/NAV Update,0.0,-36250.0,0.0,0.0,5398461.54,1.93
4,2036-04-01,2,Fee/NAV Update,0.0,-36250.0,0.0,0.0,5454230.77,1.94
4,2036-07-01,3,Fee/NAV Update,0.0,-36250.0,0.0,0.0,5510000.0,1.95
5,2026-01-01,1,Fee/NAV Update,0.0,-9675.0,0.0,0.0,876538.46,1.41
5,2026-04-01,2,Distribution,0.0,-9675.0,107500.0,64500.0,895144.23,1.42
5,2026-07-01,3,Fee/NAV Update,0.0,-9675.0,0.0,0.0,913750.0,1.43
5,2026-10-01,4,Fee/NAV Update,0.0,-9675.0,0.0,0.0,932355.77,1.43
5,2027-01-01,1,Fee/NAV Update,0.0,-9675.0,0.0,0.0,950961.54,1.44
5,2027-04-01,2,Fee/NAV Update,0.0,-9675.0,0.0,0.0,969567.31,1.45
5,2027-07-01,3,Distribution,0.0,-9675.0,107500.0,64500.0,988173.08,1.46
5,2027-10-01,4,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1006778.85,1.47
5,2028-01-01,1,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1025384.62,1.48
5,2028-04-01,2,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1043990.38,1.49
5,2028-07-01,3,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1062596.15,1.49
5,2028-10-01,4,Distribution,0.0,-9675.0,107500.0,64500.0,1081201.92,1.5
5,2029-01-01,1,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1099807.69,1.51
5,2029-04-01,2,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1118413.46,1.52
5,2029-07-01,3,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1137019.23,1.53
5,2029-10-01,4,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1155625.0,1.54
5,2030-01-01,1,Distribution,0.0,-9675.0,107500.0,64500.0,1174230.77,1.55
5,2030-04-01,2,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1192836.54,1.55
5,2030-07-01,3,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1211442.31,1.56
5,2030-10-01,4,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1230048.08,1.57
5,2031-01-01,1,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1248653.85,1.58
5,2031-04-01,2,Distribution,0.0,-9675.0,107500.0,64500.0,1267259.62,1.59
5,2031-07-01,3,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1285865.38,1.6
5,2031-10-01,4,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1304471.15,1.61
5,2032-01-01,1,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1323076.92,1.62
5,2032-04-01,2,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1341682.69,1.62
5,2032-07-01,3,Distribution,0.0,-9675.0,107500.0,64500.0,1360288.46,1.63
5,2032-10-01,4,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1378894.23,1.64
5,2033-01-01,1,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1397500.0,1.65
5,2033-04-01,2,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1416105.77,1.66
5,2033-07-01,3,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1434711.54,1.67
5,2033-10-01,4,Distribution,0.0,-9675.0,107500.0,64500.0,1453317.31,1.68
5,2034-01-01,1,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1471923.08,1.68
5,2034-04-01,2,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1490528.85,1.69
5,2034-07-01,3,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1509134.62,1.7
5,2034-10-01,4,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1527740.38,1.71
5,2035-01-01,1,Distribution,0.0,-9675.0,107500.0,64500.0,1546346.15,1.72
5,2035-04-01,2,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1564951.92,1.73
5,2035-07-01,3,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1583557.69,1.74
5,2035-10-01,4,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1602163.46,1.75
5,2036-01-01,1,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1620769.23,1.75
5,2036-04-01,2,Distribution,0.0,-9675.0,107500.0,64500.0,1639375.0,1.76
5,2036-07-01,3,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1657980.77,1.77
5,2036-10-01,4,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1676586.54,1.78
5,2037-01-01,1,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1695192.31,1.79
5,2037-04-01,2,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1713798.08,1.8
5,2037-07-01,3,Distribution,0.0,-9675.0,107500.0,64500.0,1732403.85,1.81
5,2037-10-01,4,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1751009.62,1.81
5,2038-01-01,1,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1769615.38,1.82
5,2038-04-01,2,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1788221.15,1.83
5,2038-07-01,3,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1806826.92,1.84
5,2038-10-01,4,Distribution,0.0,-9675.0,107500.0,64500.0,1825432.69,1.85
5,2039-01-01,1,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1844038.46,1.86
5,2039-04-01,2,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1862644.23,1.87
5,2039-07-01,3,Fee/NAV Update,0.0,-9675.0,0.0,0.0,1881250.0,1.88
6,2026-01-01,1,Capital Call,-120833.33,-12687.5,0.0,0.0,381709.4,1.39
6,2026-04-01,2,Capital Call,-120833.33,-12687.5,0.0,0.0,406069.71,1.37
6,2026-07-01,3,Capital Call,-120833.33,-12687.5,0.0,0.0,433295.94,1.36
6,2026-10-01,4,Capital Call,-120833.33,-12687.5,0.0,0.0,463388.09,1.35
6,2027-01-01,1,Capital Call,-120833.33,-12687.5,0.0,0.0,496346.15,1.34
6,2027-04-01,2,Fee/NAV Update,0.0,-12687.5,0.0,0.0,513541.67,1.35
6,2027-07-01,3,Fee/NAV Update,0.0,-12687.5,0.0,0.0,530737.18,1.37
6,2027-10-01,4,Distribution,0.0,-12687.5,72500.0,43500.0,547932.69,1.38
6,2028-01-01,1,Fee/NAV Update,0.0,-12687.5,0.0,0.0,565128.21,1.39
6,2028-04-01,2,Fee/NAV Update,0.0,-12687.5,0.0,0.0,582323.72,1.4
6,2028-07-01,3,Fee/NAV Update,0.0,-12687.5,0.0,0.0,599519.23,1.41
6,2028-10-01,4,Fee/NAV Update,0.0,-12687.5,0.0,0.0,616714.74,1.43
6,2029-01-01,1,Distribution,0.0,-12687.5,72500.0,43500.0,633910.26,1.44
6,2029-04-01,2,Fee/NAV Update,0.0,-12687.5,0.0,0.0,651105.77,1.45
6,2029-07-01,3,Fee/NAV Update,0.0,-12687.5,0.0,0.0,668301.28,1.46
6,2029-10-01,4,Fee/NAV Update,0.0,-12687.5,0.0,0.0,685496.79,1.47
