Fund_ID,Fund_Name,Vintage_Year,Primary_Strategy,Sub_Strategy,total_commitment_usd,Comment
33,Mid-Cap Growth Buyout,2021,Private Equity,Growth Equity,12400000.00,"Growth-oriented buyouts in niche manufacturing."
34,FoF US Mid-Market VI,2020,Fund of Funds (FoF),US Mid-Market,22800000.00,"Diversified exposure to US private equity funds."
35,VC Secondaries Fund V,2023,Secondaries,VC Secondaries,7600000.00,"Acquiring older VC fund interests at a discount; focus on fund tail-ends."
36,European Logistics Fund V,2021,Real Estate,Core/Core-Plus,26300000.00,"Stabilized income-generating warehouse and distribution centers."
37,FoF Asia PE Select III,2022,Fund of Funds (FoF),Asia Focus,11600000.00,"Dedicated to primary commitments in top-quartile Asian GPs."
38,Real Estate Debt & Credit I,2024,Real Estate,Real Estate Debt,5400000.00,"Origination of mezzanine and bridge financing for commercial properties."
39,GP-Led Secondary Fund II,2023,Secondaries,GP-Led/Continuation,16200000.00,"Focus on single-asset continuation funds and multi-asset restructurings."
40,Digital Infrastructure REIT,2022,Infrastructure,Digital Assets,37300000.00,"Towers, data centers, and fiber optic cable assets."
41,FoF Latin America Strategy II,2021,Fund of Funds (FoF),Regional Focus,3500000.00,"Investment in PE funds with a deep focus on Brazil and Mexico."
42,RE Value-Add Multifamily IV,2024,Real Estate,Value-Add,14700000.00,"Acquiring apartment complexes for renovation in high-growth US metros."
43,Secondary Real Assets Fund I,2022,Secondaries,Real Assets,8500000.00,"Secondary transactions for Infrastructure and Real Estate funds."
44,Thematic FoF Health & Tech,2023,Fund of Funds (FoF),Thematic Focus,15300000.00,"Investment in funds focusing specifically on the health and technology sectors."
45,Private Credit CLO Equity I,2024,Private Credit,Structured Credit,9800000.00,"Equity tranche investments in collateralized loan obligations (CLOs)."
46,Global Natural Resources PE I,2021,Private Equity,Energy & Resources,10700000.00,"Mid-stream oil, gas, and mining services investments."
47,Emerging Markets Venture I,2023,Venture Capital,Regional Focus,2100000.00,"Early-stage investments in India and Southeast Asia startups."
48,Real Estate Development Fund II,2020,Real Estate,Development,13500000.00,"Ground-up development of mixed-use properties."
49,European Infrastructure Core II,2019,Infrastructure,Core,21700000.00,"Regulated utility assets in stable Northern European markets."
50,Mid-Market Services Buyout VI,2022,Private Equity,LBO,19500000.00,"Buyouts of B2B service companies in the US."
